,Q20_1_venting,Q20_2_problem,Q20_3_solution,Q20_4_affirmation,Q19_1_basic_needs_operational,Q19_2_basic_needs_personal,Q19_3_physical_space_clinicians,Q19_4_physical_space_processing,Q19_5_role_inclusivity_value,Q19_6_emotional_labor_value,Q19_8_team_dynamics,Q19_9_clinical_debriefing_learning,Q19_11_physical_safety,Q19_12_leadership_dynamics,Q19_13_trauma_moral_distress,Q19_14_dept_resources,Q19_15_misinterpreted_overused_metrics,Q19_10_other
0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0
1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
2,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0
3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
5,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
8,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
9,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
10,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
11,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
12,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0
13,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
14,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0
15,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
21,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
22,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
24,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
25,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1
